tc180s3g00001,,,,,,,,,,
tc180s3g00002,,,,,,,,,,
tc180s3g00003,,,,,,,,,,
tc180s3g00004,,,,,,,,,,
tc180s3g00005,,hli2s13g00417,dz186s3g01240,,,,,opy300s6g00577,,opy300s26g00710
tc180s3g00006,hli2s12g00507,hli2s13g00418,dz186s3g01239,dz186s14g00867,,opy300s1g00373,,opy300s6g00576,opy300s15g00208,opy300s26g00709
tc180s3g00007,hli2s12g00508,hli2s13g00420,dz186s3g01238,.,dz186s15g00824,opy300s1g00374,,opy300s6g00574,opy300s15g00207,.
tc180s3g00008,.,.,.,dz186s14g00866,.,opy300s1g00375,,opy300s6g00568,.,.
tc180s3g00009,hli2s12g00510,.,dz186s3g01236,dz186s14g00865,dz186s15g00823,opy300s1g00376,opy300s5g01075,opy300s6g00567,opy300s15g00206,opy300s26g00708
tc180s3g00010,hli2s12g00511,.,dz186s3g01235,dz186s14g00864,.,opy300s1g00377,opy300s5g01074,opy300s6g00393,.,opy300s26g00707
tc180s3g00011,.,.,dz186s3g01234,.,.,opy300s1g00379,opy300s5g01073,.,.,.
tc180s3g00012,hli2s12g00512,hli2s13g00422,dz186s3g01233,dz186s14g00863,dz186s15g00822,.,opy300s5g01072,.,opy300s15g00205,.
tc180s3g00013,hli2s12g00513,.,.,.,dz186s15g00821,.,opy300s5g01071,.,.,.
tc180s3g00014,.,.,dz186s3g01232,dz186s14g00862,.,.,.,.,.,.
tc180s3g00015,.,hli2s13g00423,.,.,dz186s15g00820,opy300s1g00380,.,.,.,.
tc180s3g00016,.,hli2s13g00424,.,.,dz186s15g00819,.,.,.,.,.
tc180s3g00017,hli2s12g00514,hli2s13g00425,dz186s3g01230,dz186s14g00861,.,.,opy300s5g01070,.,.,opy300s26g00705
tc180s3g00018,.,hli2s13g00426,dz186s3g01229,dz186s14g00859,dz186s15g00817,.,opy300s5g01069,opy300s6g00392,.,opy300s26g00703
tc180s3g00019,hli2s12g00516,.,dz186s3g01228,.,dz186s15g00816,opy300s1g00382,opy300s5g01068,.,opy300s15g00202,.
tc180s3g00020,.,.,.,.,.,.,.,.,.,.
tc180s3g00021,.,.,.,.,dz186s15g00815,opy300s1g00383,opy300s5g01067,.,.,.
tc180s3g00022,.,.,dz186s3g01227,.,.,.,opy300s5g01065,opy300s6g00391,.,.
tc180s3g00023,.,.,dz186s3g01226,dz186s14g00858,.,opy300s1g00384,opy300s5g01064,opy300s6g00390,.,opy300s26g00702
tc180s3g00024,hli2s12g00518,.,.,dz186s14g00857,.,opy300s1g00385,.,opy300s6g00389,.,.
tc180s3g00025,.,.,dz186s3g01225,dz186s14g00856,dz186s15g00813,opy300s1g00387,.,.,.,opy300s26g00699
tc180s3g00026,hli2s12g00521,hli2s13g00429,.,dz186s14g00855,.,.,.,opy300s6g00387,.,.
tc180s3g00027,.,.,dz186s3g01224,dz186s14g00854,.,.,.,opy300s6g00386,.,.
tc180s3g00028,.,.,dz186s3g01223,.,.,.,.,opy300s6g00385,opy300s15g00200,opy300s26g00698
tc180s3g00029,.,hli2s13g00431,.,.,dz186s15g00812,.,opy300s5g01063,.,.,.
tc180s3g00030,hli2s12g00522,hli2s13g00434,dz186s3g01221,dz186s14g00853,dz186s15g00810,opy300s1g00389,.,opy300s6g00383,.,.
tc180s3g00031,.,.,.,dz186s14g00852,.,opy300s1g00390,.,.,.,.
tc180s3g00032,.,hli2s13g00435,dz186s3g01220,.,.,opy300s1g00391,.,.,.,.
tc180s3g00033,hli2s12g00523,.,dz186s3g01219,dz186s14g00851,dz186s15g00809,opy300s1g00392,.,opy300s6g00380,opy300s15g00197,.
tc180s3g00034,hli2s12g00524,hli2s13g00436,dz186s3g01218,dz186s14g00850,.,.,.,opy300s6g00379,,opy300s26g00692
tc180s3g00035,hli2s12g00525,hli2s13g00437,dz186s3g01217,dz186s14g00849,.,opy300s1g00393,opy300s5g01057,.,,opy300s26g00689
tc180s3g00036,hli2s12g00526,hli2s13g00438,dz186s3g01216,dz186s14g00848,dz186s15g00808,opy300s1g00394,opy300s5g01054,opy300s6g00378,,.
tc180s3g00037,.,.,.,.,.,.,.,.,,.
tc180s3g00038,hli2s12g00527,.,.,dz186s14g00847,.,opy300s1g00395,.,opy300s6g00377,,.
tc180s3g00039,.,hli2s13g00440,dz186s3g01215,dz186s14g00846,dz186s15g00807,opy300s1g00396,opy300s5g01053,opy300s6g00374,opy300s15g00227,opy300s26g00688
tc180s3g00040,.,.,dz186s3g01214,dz186s14g00845,.,.,,opy300s6g00373,.,opy300s26g00687
tc180s3g00041,.,hli2s13g00441,dz186s3g01213,.,dz186s15g00806,.,,.,.,.
tc180s3g00042,hli2s12g00528,.,dz186s3g01212,.,dz186s15g00805,.,,.,opy300s15g00230,.
tc180s3g00043,.,hli2s13g00442,.,dz186s14g00844,dz186s15g00804,.,,opy300s6g00372,opy300s15g00231,.
tc180s3g00044,hli2s12g00531,.,dz186s3g01211,.,.,.,,.,opy300s15g00233,.
tc180s3g00045,.,hli2s13g00443,dz186s3g01210,.,dz186s15g00803,.,,opy300s6g00369,.,.
tc180s3g00046,.,.,dz186s3g01209,.,dz186s15g00802,.,,opy300s6g00368,opy300s15g00235,opy300s26g00686
tc180s3g00047,hli2s12g00534,.,dz186s3g01208,.,.,opy300s1g00397,,opy300s6g00367,.,.
tc180s3g00048,hli2s12g00535,.,dz186s3g01207,.,.,.,,.,.,opy300s26g00684
tc180s3g00049,.,.,dz186s3g01206,dz186s14g00842,.,.,,.,.,opy300s26g00683
tc180s3g00050,.,hli2s13g00444,dz186s3g01205,.,dz186s15g00801,opy300s1g00399,,.,.,.
tc180s3g00051,hli2s12g00536,hli2s13g00445,dz186s3g01204,dz186s14g00841,.,.,opy300s5g01014,.,.,opy300s26g00682
tc180s3g00052,.,.,dz186s3g01203,.,.,.,.,.,opy300s15g00238,
tc180s3g00053,.,.,dz186s3g01202,.,.,.,opy300s5g00994,.,.,
tc180s3g00054,.,.,.,.,.,.,.,.,.,
tc180s3g00055,hli2s12g00540,.,.,dz186s14g00840,.,.,opy300s5g00989,.,.,
tc180s3g00056,hli2s12g00541,.,.,.,dz186s15g00800,.,.,.,opy300s15g00239,opy300s26g00517
tc180s3g00057,hli2s12g00542,hli2s13g00447,dz186s3g01201,dz186s14g00839,.,opy300s1g00400,.,opy300s6g00365,.,.
tc180s3g00058,.,.,dz186s3g01200,.,.,.,.,opy300s6g00364,opy300s15g00240,.
tc180s3g00059,.,.,.,.,.,.,.,,.,.
tc180s3g00060,.,.,dz186s3g01198,dz186s14g00837,.,.,opy300s5g00988,,.,.
tc180s3g00061,.,.,.,.,dz186s15g00797,opy300s1g00401,opy300s5g00987,,.,.
tc180s3g00062,hli2s12g00546,hli2s13g00448,.,.,dz186s15g00796,,opy300s5g00986,opy300s6g00421,opy300s15g00242,.
tc180s3g00063,.,hli2s13g00451,.,.,dz186s15g00794,,,.,opy300s15g00243,.
tc180s3g00064,hli2s12g00549,hli2s13g00454,dz186s3g01197,dz186s14g00835,.,opy300s1g00458,,.,opy300s15g00245,.
tc180s3g00065,.,.,dz186s3g01195,.,dz186s15g00793,.,,.,.,.
tc180s3g00066,hli2s12g00550,.,.,dz186s14g00834,.,.,,.,.,opy300s26g00518
tc180s3g00067,hli2s12g00553,hli2s13g00455,dz186s3g01194,dz186s14g00833,dz186s15g00792,opy300s1g00456,,.,opy300s15g00274,.
tc180s3g00068,.,hli2s13g00456,.,dz186s14g00832,dz186s15g00791,opy300s1g00453,,opy300s6g00416,.,.
tc180s3g00069,.,hli2s13g00457,dz186s3g01193,.,dz186s15g00790,.,,opy300s6g00415,opy300s15g00271,.
tc180s3g00070,hli2s12g00556,.,dz186s3g01192,.,.,.,opy300s5g01143,.,.,opy300s26g00519
tc180s3g00071,.,hli2s13g00459,dz186s3g01191,.,dz186s15g00789,.,.,.,opy300s15g00264,.
tc180s3g00072,.,.,dz186s3g01190,.,.,opy300s1g00452,opy300s5g01147,.,.,.
tc180s3g00073,.,hli2s13g00462,dz186s3g01189,.,.,opy300s1g00447,.,.,.,.
tc180s3g00074,hli2s12g00561,.,dz186s3g01188,dz186s14g00831,.,opy300s1g00446,.,.,.,opy300s26g00520
tc180s3g00075,hli2s12g00562,.,dz186s3g01187,.,.,.,.,opy300s6g00413,.,.
tc180s3g00076,.,.,dz186s3g01186,.,.,.,.,.,.,.
tc180s3g00077,.,.,.,.,.,.,.,.,.,.
tc180s3g00078,.,.,.,.,.,.,.,.,.,.
tc180s3g00079,.,.,.,.,.,.,.,.,.,.
tc180s3g00080,.,.,.,.,.,.,.,.,.,.
tc180s3g00081,hli2s12g00564,hli2s13g00463,dz186s3g01185,dz186s14g00830,.,.,.,opy300s6g00411,.,opy300s26g00521
tc180s3g00082,hli2s12g00565,hli2s13g00464,dz186s3g01184,dz186s14g00829,.,opy300s1g00445,.,.,.,opy300s26g00522
tc180s3g00083,.,.,dz186s3g01183,dz186s14g00806,.,opy300s1g00444,.,.,.,.
tc180s3g00084,hli2s12g00566,hli2s13g00466,dz186s3g01182,.,.,.,.,opy300s6g00406,.,.
tc180s3g00085,.,hli2s13g00467,.,.,dz186s15g00788,.,.,.,opy300s15g00263,.
