tc180s3g00001,,,,,
tc180s3g00002,,,,,
tc180s3g00003,,,,,
tc180s3g00004,,,,,
tc180s3g00005,,,opy300s6g00577,,opy300s26g00710
tc180s3g00006,opy300s1g00373,,opy300s6g00576,opy300s15g00208,opy300s26g00709
tc180s3g00007,opy300s1g00374,,opy300s6g00574,opy300s15g00207,.
tc180s3g00008,opy300s1g00375,,opy300s6g00568,.,.
tc180s3g00009,opy300s1g00376,opy300s5g01075,opy300s6g00567,opy300s15g00206,opy300s26g00708
tc180s3g00010,opy300s1g00377,opy300s5g01074,opy300s6g00393,.,opy300s26g00707
tc180s3g00011,opy300s1g00379,opy300s5g01073,.,.,.
tc180s3g00012,.,opy300s5g01072,.,opy300s15g00205,.
tc180s3g00013,.,opy300s5g01071,.,.,.
tc180s3g00014,.,.,.,.,.
tc180s3g00015,opy300s1g00380,.,.,.,.
tc180s3g00016,.,.,.,.,.
tc180s3g00017,.,opy300s5g01070,.,.,opy300s26g00705
tc180s3g00018,.,opy300s5g01069,opy300s6g00392,.,opy300s26g00703
tc180s3g00019,opy300s1g00382,opy300s5g01068,.,opy300s15g00202,.
tc180s3g00020,.,.,.,.,.
tc180s3g00021,opy300s1g00383,opy300s5g01067,.,.,.
tc180s3g00022,.,opy300s5g01065,opy300s6g00391,.,.
tc180s3g00023,opy300s1g00384,opy300s5g01064,opy300s6g00390,.,opy300s26g00702
tc180s3g00024,opy300s1g00385,.,opy300s6g00389,.,.
tc180s3g00025,opy300s1g00387,.,.,.,opy300s26g00699
tc180s3g00026,.,.,opy300s6g00387,.,.
tc180s3g00027,.,.,opy300s6g00386,.,.
tc180s3g00028,.,.,opy300s6g00385,opy300s15g00200,opy300s26g00698
tc180s3g00029,.,opy300s5g01063,.,.,.
tc180s3g00030,opy300s1g00389,.,opy300s6g00383,.,.
tc180s3g00031,opy300s1g00390,.,.,.,.
tc180s3g00032,opy300s1g00391,.,.,.,.
tc180s3g00033,opy300s1g00392,.,opy300s6g00380,opy300s15g00197,.
tc180s3g00034,.,.,opy300s6g00379,,opy300s26g00692
tc180s3g00035,opy300s1g00393,opy300s5g01057,.,,opy300s26g00689
tc180s3g00036,opy300s1g00394,opy300s5g01054,opy300s6g00378,,.
tc180s3g00037,.,.,.,,.
tc180s3g00038,opy300s1g00395,.,opy300s6g00377,,.
tc180s3g00039,opy300s1g00396,opy300s5g01053,opy300s6g00374,opy300s15g00227,opy300s26g00688
tc180s3g00040,.,,opy300s6g00373,.,opy300s26g00687
tc180s3g00041,.,,.,.,.
tc180s3g00042,.,,.,opy300s15g00230,.
tc180s3g00043,.,,opy300s6g00372,opy300s15g00231,.
tc180s3g00044,.,,.,opy300s15g00233,.
tc180s3g00045,.,,opy300s6g00369,.,.
tc180s3g00046,.,,opy300s6g00368,opy300s15g00235,opy300s26g00686
tc180s3g00047,opy300s1g00397,,opy300s6g00367,.,.
tc180s3g00048,.,,.,.,opy300s26g00684
tc180s3g00049,.,,.,.,opy300s26g00683
tc180s3g00050,opy300s1g00399,,.,.,.
tc180s3g00051,.,opy300s5g01014,.,.,opy300s26g00682
tc180s3g00052,.,.,.,opy300s15g00238,
tc180s3g00053,.,opy300s5g00994,.,.,
tc180s3g00054,.,.,.,.,
tc180s3g00055,.,opy300s5g00989,.,.,
tc180s3g00056,.,.,.,opy300s15g00239,opy300s26g00517
tc180s3g00057,opy300s1g00400,.,opy300s6g00365,.,.
tc180s3g00058,.,.,opy300s6g00364,opy300s15g00240,.
tc180s3g00059,.,.,,.,.
tc180s3g00060,.,opy300s5g00988,,.,.
tc180s3g00061,opy300s1g00401,opy300s5g00987,,.,.
tc180s3g00062,,opy300s5g00986,opy300s6g00421,opy300s15g00242,.
tc180s3g00063,,,.,opy300s15g00243,.
tc180s3g00064,opy300s1g00458,,.,opy300s15g00245,.
tc180s3g00065,.,,.,.,.
tc180s3g00066,.,,.,.,opy300s26g00518
tc180s3g00067,opy300s1g00456,,.,opy300s15g00274,.
tc180s3g00068,opy300s1g00453,,opy300s6g00416,.,.
tc180s3g00069,.,,opy300s6g00415,opy300s15g00271,.
tc180s3g00070,.,opy300s5g01143,.,.,opy300s26g00519
tc180s3g00071,.,.,.,opy300s15g00264,.
tc180s3g00072,opy300s1g00452,opy300s5g01147,.,.,.
tc180s3g00073,opy300s1g00447,.,.,.,.
tc180s3g00074,opy300s1g00446,.,.,.,opy300s26g00520
tc180s3g00075,.,.,opy300s6g00413,.,.
tc180s3g00076,.,.,.,.,.
tc180s3g00077,.,.,.,.,.
tc180s3g00078,.,.,.,.,.
tc180s3g00079,.,.,.,.,.
tc180s3g00080,.,.,.,.,.
tc180s3g00081,.,.,opy300s6g00411,.,opy300s26g00521
tc180s3g00082,opy300s1g00445,.,.,.,opy300s26g00522
tc180s3g00083,opy300s1g00444,.,.,.,.
tc180s3g00084,.,.,opy300s6g00406,.,.
tc180s3g00085,.,.,.,opy300s15g00263,.
tc180s3g00086,opy300s1g00443,opy300s5g01171,.,opy300s15g00262,opy300s26g00523
tc180s3g00087,opy300s1g00442,.,.,.,.
tc180s3g00088,.,.,.,.,opy300s26g00527
tc180s3g00089,.,.,.,.,.
tc180s3g00090,opy300s1g00441,.,.,.,opy300s26g00529
tc180s3g00091,.,.,.,.,.
tc180s3g00092,.,.,.,.,opy300s26g00531
tc180s3g00093,.,opy300s5g01172,.,.,opy300s26g00532
tc180s3g00094,.,.,.,.,.
tc180s3g00095,opy300s1g00440,.,.,.,.
tc180s3g00096,.,opy300s5g01189,.,.,.
tc180s3g00097,opy300s1g00438,,.,.,.
tc180s3g00098,opy300s1g00437,,.,.,.
tc180s3g00099,.,,.,opy300s15g00250,.
tc180s3g00100,.,,.,.,.
tc180s3g00101,opy300s1g00436,,.,.,.
tc180s3g00102,.,,.,opy300s15g00249,.
tc180s3g00103,.,,.,.,.
tc180s3g00104,.,,.,.,opy300s26g00533
tc180s3g00105,.,,.,opy300s15g00247,.
