eud1g00001,vvi161s9g00832,,
eud1g00002,.,,
eud1g00003,.,,
eud1g00004,.,,
eud1g00005,vvi161s9g01180,,
eud1g00006,.,,
eud1g00007,vvi161s9g01179,,
eud1g00008,vvi161s9g00833,,
eud1g00009,.,,
eud1g00010,.,,
eud1g00011,.,,
eud1g00012,.,,
eud1g00013,.,,
eud1g00014,vvi161s9g00834,,
eud1g00015,vvi161s9g01176,,
eud1g00016,.,,
eud1g00017,vvi161s9g01163,,
eud1g00018,vvi161s9g01158,,
eud1g00019,.,,vvi161s4g00274
eud1g00020,.,,.
eud1g00021,.,,.
eud1g00022,.,,.
eud1g00023,.,,.
eud1g00024,.,,.
eud1g00025,.,,vvi161s4g00273
eud1g00026,vvi161s9g01157,,.
eud1g00027,.,,.
eud1g00028,.,,vvi161s4g00272
eud1g00029,.,,.
eud1g00030,.,,.
eud1g00031,.,,.
eud1g00032,.,,vvi161s4g00270
eud1g00033,vvi161s9g00845,,.
eud1g00034,vvi161s9g00852,,.
eud1g00035,.,,.
eud1g00036,.,,.
eud1g00037,.,,.
eud1g00038,.,,.
eud1g00039,.,,.
eud1g00040,.,,.
eud1g00041,.,,.
eud1g00042,.,,.
eud1g00043,.,,.
eud1g00044,.,,vvi161s4g00268
eud1g00045,.,,.
eud1g00046,vvi161s9g00853,,.
eud1g00047,.,,.
eud1g00048,vvi161s9g00854,,.
eud1g00049,,,.
eud1g00050,,,.
eud1g00051,,,.
eud1g00052,,,.
eud1g00053,,,.
eud1g00054,,,.
eud1g00055,,,.
eud1g00056,,,.
eud1g00057,,,.
eud1g00058,,,.
eud1g00059,,,.
eud1g00060,,,.
eud1g00061,,,.
eud1g00062,,,.
eud1g00063,,,.
eud1g00064,,,.
eud1g00065,,,.
eud1g00066,vvi161s9g01155,,.
eud1g00067,.,,vvi161s4g00265
eud1g00068,.,,.
eud1g00069,.,,.
eud1g00070,.,,vvi161s4g00264
eud1g00071,.,,.
eud1g00072,.,,.
eud1g00073,.,,vvi161s4g00262
eud1g00074,vvi161s9g01154,,.
eud1g00075,vvi161s9g01153,,.
eud1g00076,.,,.
eud1g00077,.,,.
eud1g00078,.,,.
eud1g00079,.,,.
eud1g00080,.,,.
eud1g00081,vvi161s9g01152,,.
eud1g00082,vvi161s9g01151,,.
eud1g00083,vvi161s9g01150,,.
eud1g00084,vvi161s9g01149,,.
eud1g00085,vvi161s9g01148,,vvi161s4g00261
eud1g00086,.,,.
eud1g00087,.,,.
eud1g00088,vvi161s9g01147,,.
eud1g00089,vvi161s9g01146,,.
eud1g00090,.,,.
eud1g00091,.,,.
eud1g00092,.,,.
eud1g00093,vvi161s9g01145,,.
eud1g00094,vvi161s9g01138,vvi161s11g00954,.
eud1g00095,.,.,.
eud1g00096,.,.,.
eud1g00097,vvi161s9g01137,vvi161s11g00951,.
eud1g00098,.,.,.
eud1g00099,.,.,.
eud1g00100,.,.,.
eud1g00101,.,.,.
eud1g00102,.,.,.
eud1g00103,.,.,.
eud1g00104,.,.,.
eud1g00105,.,.,.
eud1g00106,.,vvi161s11g00949,vvi161s4g00258
eud1g00107,.,.,.
eud1g00108,.,.,.
eud1g00109,.,.,.
eud1g00110,.,.,.
eud1g00111,.,.,.
eud1g00112,.,.,.
eud1g00113,.,.,.
eud1g00114,.,vvi161s11g00937,.
eud1g00115,.,vvi161s11g00936,.
eud1g00116,.,.,vvi161s4g00250
eud1g00117,.,.,
eud1g00118,.,.,
eud1g00119,.,.,
eud1g00120,.,.,
eud1g00121,vvi161s9g01112,.,
eud1g00122,.,.,
eud1g00123,.,.,
eud1g00124,.,.,
eud1g00125,vvi161s9g01109,.,
eud1g00126,.,.,
eud1g00127,.,.,
eud1g00128,.,.,
eud1g00129,.,.,
eud1g00130,.,.,
eud1g00131,.,.,
eud1g00132,.,.,
eud1g00133,.,.,
eud1g00134,.,.,
eud1g00135,.,.,
eud1g00136,.,.,
eud1g00137,.,.,
eud1g00138,.,.,
eud1g00139,.,vvi161s11g00935,
eud1g00140,.,.,
eud1g00141,.,.,
eud1g00142,.,.,
eud1g00143,.,.,
eud1g00144,.,.,
eud1g00145,.,.,
eud1g00146,.,.,
eud1g00147,vvi161s9g01108,vvi161s11g00934,
eud1g00148,.,.,
eud1g00149,.,.,
eud1g00150,.,.,
eud1g00151,vvi161s9g01107,.,
eud1g00152,vvi161s9g01106,vvi161s11g00929,
eud1g00153,.,vvi161s11g00927,
eud1g00154,.,.,
eud1g00155,.,.,
eud1g00156,.,.,
eud1g00157,.,.,
eud1g00158,.,.,
eud1g00159,.,.,vvi161s4g00256
eud1g00160,.,vvi161s11g00926,.
eud1g00161,.,.,.
eud1g00162,.,.,.
eud1g00163,.,.,.
eud1g00164,.,.,.
eud1g00165,.,.,.
eud1g00166,.,.,.
eud1g00167,.,.,.
eud1g00168,vvi161s9g01105,.,.
eud1g00169,,vvi161s11g00925,.
eud1g00170,,.,vvi161s4g00249
eud1g00171,,vvi161s11g00924,.
eud1g00172,,vvi161s11g00923,.
eud1g00173,,vvi161s11g00922,vvi161s4g00248
eud1g00174,,.,.
eud1g00175,,.,vvi161s4g00247
eud1g00176,,.,.
eud1g00177,,.,.
eud1g00178,,.,.
eud1g00179,,.,.
eud1g00180,,vvi161s11g00921,.
eud1g00181,,.,.
eud1g00182,,.,.
eud1g00183,,.,.
eud1g00184,,.,.
eud1g00185,,.,.
eud1g00186,,.,.
eud1g00187,,.,.
eud1g00188,,.,.
eud1g00189,,.,.
eud1g00190,,.,.
eud1g00191,,vvi161s11g00920,vvi161s4g00246
eud1g00192,,,.
eud1g00193,,,.
eud1g00194,,,.
eud1g00195,,,.
eud1g00196,,,.
eud1g00197,,,.
eud1g00198,,,.
eud1g00199,,,.
eud1g00200,,,.
eud1g00201,,,.
eud1g00202,,,.
eud1g00203,,,.
eud1g00204,,,.
eud1g00205,,,.
eud1g00206,,,vvi161s4g00243
eud1g00207,,,.
eud1g00208,,,.
eud1g00209,,,vvi161s4g00240
eud1g00210,,,
eud1g00211,,,
eud1g00212,,,
eud1g00213,,,
eud1g00214,,,
eud1g00215,,,
eud1g00216,,,
eud1g00217,,,
eud1g00218,,,
eud1g00219,,,
eud1g00220,,,
eud1g00221,,,
eud1g00222,,,
eud1g00223,,,
eud1g00224,,,
eud1g00225,,,
eud1g00226,,,
eud1g00227,,,
eud1g00228,,vvi161s11g00983,
eud1g00229,,.,
eud1g00230,,.,
eud1g00231,,vvi161s11g00991,
eud1g00232,,.,
eud1g00233,,vvi161s11g00992,
eud1g00234,,vvi161s11g00993,
eud1g00235,,vvi161s11g00994,
eud1g00236,,.,
eud1g00237,,.,
eud1g00238,,.,
eud1g00239,,.,
eud1g00240,,vvi161s11g00995,
eud1g00241,,vvi161s11g00996,
eud1g00242,,vvi161s11g00997,
eud1g00243,,vvi161s11g00998,
eud1g00244,vvi161s9g01081,.,
eud1g00245,.,.,
eud1g00246,.,.,
eud1g00247,vvi161s9g01082,.,
eud1g00248,vvi161s9g01083,.,
eud1g00249,.,.,
eud1g00250,.,.,
eud1g00251,.,.,
eud1g00252,.,.,
eud1g00253,.,.,
eud1g00254,vvi161s9g01084,.,
eud1g00255,.,.,
eud1g00256,.,vvi161s11g00999,
eud1g00257,.,vvi161s11g01000,
eud1g00258,.,vvi161s11g01001,
eud1g00259,.,vvi161s11g01002,
eud1g00260,.,vvi161s11g01003,
eud1g00261,.,.,
eud1g00262,.,.,
eud1g00263,.,.,
eud1g00264,.,vvi161s11g01010,
eud1g00265,.,.,
eud1g00266,.,.,
eud1g00267,.,.,
eud1g00268,.,.,
eud1g00269,.,.,
eud1g00270,.,vvi161s11g01011,
eud1g00271,.,vvi161s11g01012,
eud1g00272,.,vvi161s11g01013,
